,Show_Number,Air_Date,Round,Category,Value,Question,Answer
4888,3331,2/15/99,Double Jeopardy!,OFF WITH THEIR HEADS!,$200 ,The first wife of Henry VIII to get the axe,Anne Boleyn
185868,6285,1/6/12,Double Jeopardy!,GAME DESCRIPTIONS,$400 ,Send a one-hopper home to get the guy who tagged up; shoot it around the horn,baseball
214845,4222,12/31/02,Jeopardy!,THE 7 WONDERS,$200 ,We sort of know what the Statue of Zeus looked like because it was reproduced on these of the realm,coins
32214,5568,11/19/08,Double Jeopardy!,THE HILLS,"$1,600 ","The Sand Hills Region is mostly in this state, north of the Platte River",Nebraska
177959,607,4/7/87,Double Jeopardy!,CONDUCTORS,$600 ,"The <a href=""http://www.j-archive.com/media/1987-04-07_DJ_28.mp3"">following</a> was early '60s pop hit for this 3-time Oscar winner, now a renowned conductor:",AndrÌ© Previn
115357,4855,10/21/05,Double Jeopardy!,SPORTS U.S.A.,"$1,200 ","(<a href=""http://www.j-archive.com/media/2005-10-21_DJ_28.jpg"" target=""_blank"">Jon of the Clue Crew sports Boston ball club paraphernalia.</a>)  I'm a proud citizen of this, a phrase popularized and used in a book subtitle by sportswriter Dan Shaughnessy",the Red Sox Nation
84757,1221,12/18/89,Jeopardy!,SIGNS & SYMBOLS,$100 ,"Batman's partner, Robin, has this symbol on his shirt",R
2748,3815,3/16/01,Jeopardy!,CELEBRITY RHYME TIME,$100 ,Aykroyd's blueprints,Dan's plans
69770,5820,12/25/09,Jeopardy!,COCOA CHANNEL,$400 ,Nestle sells a hot cocoa mix featuring mini these to put on top,marshmallows
89690,5390,2/1/08,Double Jeopardy!,MEDICAL SCHOOL,$400 ,This renowned Minnesota institution opened its own med school in 1972,the Mayo Clinic
166313,3330,2/12/99,Double Jeopardy!,VALUES,$200 ,13 loaves or buns,Baker's dozen
120928,5786,11/9/09,Double Jeopardy!,VIDEO GAMES,"$1,200 ","""Hottest Party"" is an installment in the Wii game called this ""Revolution""",Dance Dance
169510,5776,10/26/09,Double Jeopardy!,I THINK I LOVE HUGH,$400 ,"This magazine man, born in 1926, claims to be a direct descendent of Puritan patriarchs John Winthrop & William Bradford",Hugh Hefner
50261,1285,3/16/90,Double Jeopardy!,THEATER,"$1,000 ","The characters in his play ""Hay Fever"" were inspired by actress Laurette Taylor & her family",Noel Coward
36734,2579,11/16/95,Double Jeopardy!,ECONOMICS,$600 ,2-word economic phrase that describes the period of U.S. history from 1929-1939,Great Depression
8684,3682,9/12/00,Jeopardy!,THE HOLLYWOOD STOCK EXCHANGE,$500 ,"At $4,147 a share, this star of ""Firestarter"" is one of the highest-valued actresses listed on HSX",Drew Barrymore
11613,4950,3/3/06,Jeopardy!,CLASSIC SPORTS COMMERCIALS,$400 ,"Yao, Yogi & ""yo"" all played a part in an ad for this credit card company",Visa
48264,3692,9/26/00,Double Jeopardy!,FAMOUS NICKNAMES,$200 ,"""The Lord of San Simeon""",William Randolph Hearst
63408,3123,3/11/98,Double Jeopardy!,KIDDY LIT,$200 ,"In a Grimm tale, grim indeed, she pushed a witch into an oven",Gretel
143743,3341,3/1/99,Double Jeopardy!,SHAKESPEARE IN LOVE,"$1,000 ","The first line of this comedy is ""If music be the food of love, play on""",Twelfth Night
